Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
Car,17,1,Petrol,1270
Taxi/Private hire car,4,1,Heavy oil,2664
Car,13,1,Petrol,2150
Car,5,1,Petrol,2000
Car,12,1,Heavy oil,1699
Car,8,1,Petrol,1761
Car,12,1,Petrol,1796
Car,15,1,Petrol,1397
Car,9,1,Petrol,1390
Car,12,1,Petrol,1275
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1998
Car,5,1,Petrol,1796
Car,1,1,Petrol,1796
Car,3,1,Heavy oil,1995
Car,7,1,Petrol,1493
Car,12,1,Petrol,1495
Car,5,1,Petrol,999
Car,2,1,Petrol,1199
Car,8,1,Petrol,1796
Car,5,1,Petrol,998
Car,4,1,Petrol,1794
Car,4,1,Petrol,1598
Car,5,1,Petrol,998
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Van / Goods 3.5 tonnes mgw or under,16,1,Petrol,1993
Car,4,1,Petrol,1794
Car,2,1,Petrol,1124
Car,5,1,Heavy oil,1995
Car,7,1,Petrol,2254
Car,9,1,Petrol,1985
Car,8,1,Petrol,999
Car,7,1,Petrol,1124
Car,8,1,Petrol,1493
Car,1,1,Petrol,1242
Car,6,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,1998
Motorcycle 125cc and under,5,1,Petrol,113
Car,10,1,Petrol,1360
Car,10,1,Petrol,1360
Motorcycle over 125cc and up to 500cc,15,1,Petrol,400
Car,15,1,Petrol,1235
Car,8,1,Petrol,1498
Motorcycle 125cc and under,4,1,Petrol,124
Car,4,1,Petrol,1598
Car,6,1,Heavy oil,1997
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Motorcycle over 500cc,4,1,Petrol,599
Car,4,1,Petrol,1794
Car,5,1,Heavy oil,1686
Motorcycle 50cc and under,4,1,Petrol,49
Car,12,1,Petrol,1796
Car,11,1,Petrol,1389
Car,7,1,Petrol,1834
Car,6,1,Petrol,1390
Car,11,1,Heavy oil,1686
Car,3,1,Heavy oil,2496
