Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
Car,2,1,Petrol,1390
Car,2,1,Petrol,1390
Car,2,1,Petrol,1390
Taxi/Private hire car,5,1,Heavy oil,2664
Car,11,1,Petrol,2494
Motorcycle 125cc and under,1,1,Petrol,125
Car,6,1,Heavy oil,1689
Car,7,1,Petrol,1998
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,2689
Car,5,1,Heavy oil,2902
Car,7,1,Petrol,1597
Car,3,1,Petrol,998
Car,3,1,Petrol,998
Car,7,1,Petrol,1600
Motorcycle 50cc and under,2,1,Petrol,49
Car,3,1,Petrol,1781
Car,4,1,Petrol,1998
Car,4,1,Petrol,1998
Car,4,1,Petrol,1998
Car,4,1,Petrol,1998
Car,7,1,Petrol,1390
Motorcycle 125cc and under,3,1,Petrol,124
Motorcycle 125cc and under,3,1,Petrol,124
Car,8,1,Petrol,1370
Car,3,1,Heavy oil,2401
Bus or coach (17 or more pass seats),1,1,Heavy oil,7300
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,9,1,Petrol,1596
Bus or coach (17 or more pass seats),7,1,Heavy oil,5900
Motorcycle over 500cc,4,1,Petrol,1137
Motorcycle over 500cc,4,1,Petrol,1137
Car,5,1,Petrol,2464
Motorcycle 125cc and under,2,1,Petrol,124
Car,5,1,Petrol,1581
Motorcycle over 500cc,3,1,Petrol,600
Motorcycle 125cc and under,1,1,Petrol,125
Bus or coach (17 or more pass seats),1,1,Heavy oil,7300
Motorcycle 125cc and under,2,1,Petrol,124
Car,4,1,Petrol,1595
Motorcycle 125cc and under,4,1,Petrol,124
Taxi/Private hire car,4,1,Heavy oil,2664
Car,10,1,Petrol,1590
Motorcycle 125cc and under,4,1,Petrol,124
Motorcycle 125cc and under,2,1,Petrol,124
Motorcycle 125cc and under,7,1,Petrol,124
Motorcycle over 500cc,1,1,Petrol,7817
Motorcycle 125cc and under,1,1,Petrol,125
Motorcycle 125cc and under,1,1,Petrol,125
Van / Goods 3.5 tonnes mgw or under,7,1,Heavy oil,2459
Motorcycle over 500cc,14,1,Petrol,600
Car,6,1,Petrol,1800
Car,5,1,Petrol,973
Motorcycle 125cc and under,1,1,Petrol,125
Car,4,1,Petrol,1994
Taxi/Private hire car,9,1,Heavy oil,2664
Car,12,1,Petrol,1598
Bus or coach (17 or more pass seats),1,1,Heavy oil,9200
Taxi/Private hire car,5,1,Heavy oil,1997
Car,1,1,Petrol,1796
Car,1,1,Petrol,1796
Car,8,1,Petrol,1598
Car,13,1,Petrol,1580
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,1998
Motorcycle over 500cc,1,1,Petrol,1130
Car,5,1,Petrol,1898
Car,2,1,Petrol,4999
Motorcycle 125cc and under,2,1,Petrol,124
Motorcycle over 500cc,7,1,Petrol,599
Car,8,1,Petrol,1396
Bus or coach (17 or more pass seats),1,1,Heavy oil,7300
Motorcycle over 500cc,6,1,Petrol,647
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,1686
Motorcycle 50cc and under,1,1,Petrol,49
Motorcycle 125cc and under,4,1,Petrol,124
