Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive,Propulsion_Code,Engine_Capacity_CC
Van / Goods 3.5 tonnes mgw or under,7,1,Heavy oil,2459
Car,3,1,Petrol,1598
Motorcycle over 500cc,14,1,Petrol,600
Car,6,1,Petrol,1800
Car,6,1,Petrol,1800
Motorcycle 125cc and under,1,1,Petrol,125
Car,4,1,Petrol,1994
Taxi/Private hire car,9,1,Heavy oil,2664
Taxi/Private hire car,9,1,Heavy oil,2664
Bus or coach (17 or more pass seats),1,1,Heavy oil,9200
Taxi/Private hire car,5,1,Heavy oil,1997
Car,1,1,Petrol,1796
Car,1,1,Petrol,1796
Car,8,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,1998
Motorcycle over 500cc,1,1,Petrol,1130
Car,5,1,Petrol,1898
Car,5,1,Heavy oil,1896
Motorcycle 125cc and under,2,1,Petrol,124
Motorcycle over 500cc,7,1,Petrol,599
Car,1,1,Petrol,2995
Car,8,1,Petrol,1396
Bus or coach (17 or more pass seats),1,1,Heavy oil,7300
Motorcycle over 500cc,6,1,Petrol,647
Goods 7.5 tonnes mgw and over,2,1,Heavy oil,11705
Car,9,1,Petrol,1489
Car,5,1,Petrol,1598
Bus or coach (17 or more pass seats),5,1,Heavy oil,9600
Car,2,1,Petrol,1360
Motorcycle 125cc and under,5,1,Petrol,124
Taxi/Private hire car,2,1,Heavy oil,2402
Car,2,1,Heavy oil,1896
Car,2,1,Heavy oil,2925
Car,4,1,Petrol,1796
Car,10,1,Petrol,1598
Motorcycle over 125cc and up to 500cc,7,1,Petrol,499
Car,2,1,Petrol,1360
Car,2,1,Petrol,4196
Bus or coach (17 or more pass seats),1,1,Heavy oil,7300
Car,6,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1753
Car,7,1,Petrol,3152
Car,7,1,Petrol,3152
Car,7,1,Petrol,3152
Car,3,1,Petrol,1390
Taxi/Private hire car,2,1,Heavy oil,2402
Car,8,1,Petrol,1396
Car,4,1,Petrol,2362
Car,4,1,Petrol,2362
Car,3,1,Petrol,599
Motorcycle over 500cc,5,1,Petrol,647
Car,4,1,Petrol,1984
Car,11,1,Petrol,1391
Car,7,1,Heavy oil,1753
Car,6,1,Petrol,1796
Car,7,1,Petrol,1998
Car,12,1,Petrol,2792
Car,2,1,Petrol,1390
Taxi/Private hire car,9,1,Heavy oil,2664
Car,3,1,Petrol,1796
Car,3,1,Petrol,1796
Car,1,1,Petrol,1796
Car,1,1,Petrol,1796
Taxi/Private hire car,13,1,Heavy oil,2496
Car,7,1,Petrol,2398
Car,6,1,Heavy oil,1896
Car,4,1,Petrol,1781
Car,7,1,Heavy oil,1896
Car,16,1,Petrol,1977
Car,16,1,Petrol,1977
Car,16,1,Petrol,1977
Van / Goods 3.5 tonnes mgw or under,5,1,Petrol,1998
Car,6,1,Petrol,2295
Car,5,2,Petrol,1600
Car,2,1,Heavy oil,2401
Car,3,1,Heavy oil,2171
Car,12,1,Petrol,1389
Motorcycle over 500cc,5,1,Petrol,996
Car,7,1,Petrol,1597
Car,1,1,Heavy oil,1896
Taxi/Private hire car,7,1,Heavy oil,2664
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,2798
Car,3,1,Petrol,1796
Car,5,1,Petrol,1581
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Bus or coach (17 or more pass seats),1,1,Heavy oil,3900
Motorcycle 125cc and under,2,1,Petrol,125
Car,11,1,Petrol,3600
Motorcycle 125cc and under,2,1,Petrol,125
Motorcycle over 500cc,1,1,Petrol,748
Car,11,1,Petrol,3960
Goods 7.5 tonnes mgw and over,4,1,Heavy oil,12130
Motorcycle over 500cc,2,1,Petrol,848
Car,5,1,Petrol,1800
Taxi/Private hire car,3,1,Heavy oil,2446
Motorcycle 125cc and under,2,1,Petrol,124
Car,2,1,Heavy oil,2993
Taxi/Private hire car,6,1,Heavy oil,2664
Motorcycle over 500cc,6,1,Petrol,599
Car,15,1,Petrol,1781
Car,2,1,Petrol,1399
Bus or coach (17 or more pass seats),1,1,Heavy oil,8268
Bus or coach (17 or more pass seats),1,1,Heavy oil,8268
Car,8,1,Petrol/Gas (LPG),3600
Car,8,1,Petrol/Gas (LPG),3600
Car,8,1,Petrol/Gas (LPG),3600
Car,8,1,Petrol/Gas (LPG),3600
Motorcycle 50cc and under,1,1,Petrol,49
Motorcycle 125cc and under,5,1,Petrol,100
Motorcycle 125cc and under,5,1,Petrol,100
Van / Goods 3.5 tonnes mgw or under,2,1,Gas/Bi-fuel,2295
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Motorcycle over 125cc and up to 500cc,2,1,Petrol,244
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Motorcycle over 500cc,8,1,Petrol,955
Motorcycle over 500cc,8,1,Petrol,955
Car,4,1,Heavy oil,1868
Motorcycle over 125cc and up to 500cc,16,1,Petrol,399
Taxi/Private hire car,6,1,Heavy oil,2664
Taxi/Private hire car,4,1,Heavy oil,1896
Taxi/Private hire car,4,1,Heavy oil,1896
Motorcycle over 500cc,7,1,Petrol,1157
Motorcycle over 125cc and up to 500cc,3,1,Petrol,176
Motorcycle 125cc and under,1,1,Petrol,100
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
