,Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
410,Van / Goods 3.5 tonnes mgw or under,3.0,1.0,Heavy oil,2689.0
411,Car,5.0,1.0,Heavy oil,2902.0
414,Car,7.0,1.0,Petrol,1597.0
415,Car,3.0,1.0,Petrol,998.0
416,Car,3.0,1.0,Petrol,998.0
417,Car,7.0,1.0,Petrol,1600.0
418,Motorcycle 50cc and under,2.0,1.0,Petrol,49.0
422,Car,4.0,1.0,Petrol,1998.0
423,Car,4.0,1.0,Petrol,1998.0
424,Car,4.0,1.0,Petrol,1998.0
425,Car,4.0,1.0,Petrol,1998.0
427,Car,7.0,1.0,Petrol,1390.0
430,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,7300.0
431,Bus or coach (17 or more pass seats),7.0,1.0,Heavy oil,5900.0
432,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
434,Car,5.0,1.0,Petrol,1581.0
436,Motorcycle over 500cc,3.0,1.0,Petrol,600.0
437,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
438,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,7300.0
440,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
443,Car,4.0,1.0,Petrol,1595.0
448,Taxi/Private hire car,4.0,1.0,Heavy oil,2664.0
452,Motorcycle 125cc and under,4.0,1.0,Petrol,124.0
453,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
454,Motorcycle 125cc and under,7.0,1.0,Petrol,124.0
455,Motorcycle over 500cc,1.0,1.0,Petrol,7817.0
459,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
460,Van / Goods 3.5 tonnes mgw or under,7.0,1.0,Heavy oil,2459.0
462,Car,6.0,1.0,Petrol,1800.0
463,Car,5.0,1.0,Petrol,973.0
467,Taxi/Private hire car,9.0,1.0,Heavy oil,2664.0
468,Car,12.0,1.0,Petrol,1598.0
469,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,9200.0
471,Car,1.0,1.0,Petrol,1796.0
472,Car,1.0,1.0,Petrol,1796.0
473,Car,8.0,1.0,Petrol,1598.0
474,Car,13.0,1.0,Petrol,1580.0
475,Van / Goods 3.5 tonnes mgw or under,4.0,1.0,Heavy oil,1998.0
476,Motorcycle over 500cc,1.0,1.0,Petrol,1130.0
477,Car,2.0,1.0,Petrol,4999.0
479,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
481,Motorcycle over 500cc,7.0,1.0,Petrol,599.0
482,Motorcycle over 500cc,6.0,1.0,Petrol,647.0
485,Motorcycle 125cc and under,4.0,1.0,Petrol,124.0
488,Motorcycle 125cc and under,5.0,1.0,Petrol,124.0
492,Motorcycle over 500cc,3.0,1.0,Petrol,1157.0
493,Motorcycle over 125cc and up to 500cc,7.0,1.0,Petrol,499.0
494,Car,2.0,1.0,Petrol,1360.0
496,Car,2.0,1.0,Petrol,4196.0
502,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
504,Car,4.0,1.0,Petrol,2362.0
506,Motorcycle over 500cc,5.0,1.0,Petrol,647.0
507,Car,4.0,1.0,Petrol,1984.0
509,Car,11.0,1.0,Petrol,1391.0
510,Motorcycle over 125cc and up to 500cc,5.0,1.0,Petrol,499.0
511,Car,1.0,1.0,Petrol,1598.0
513,Car,12.0,1.0,Petrol,2792.0
516,Car,3.0,1.0,Petrol,1796.0
517,Car,3.0,1.0,Petrol,1796.0
518,Car,1.0,1.0,Petrol,1796.0
520,Car,6.0,1.0,Heavy oil,1896.0
522,Car,7.0,1.0,Heavy oil,1896.0
523,Car,6.0,1.0,Petrol,2295.0
525,Car,5.0,2.0,Petrol,1600.0
528,Car,12.0,1.0,Petrol,1389.0
530,Motorcycle over 500cc,5.0,1.0,Petrol,996.0
531,Car,7.0,1.0,Petrol,1597.0
541,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,8268.0
543,Car,11.0,1.0,Petrol,3600.0
544,Motorcycle 125cc and under,2.0,1.0,Petrol,125.0
545,Motorcycle over 500cc,1.0,1.0,Petrol,748.0
548,Motorcycle over 500cc,2.0,1.0,Petrol,848.0
549,Bus or coach (17 or more pass seats),6.0,1.0,Heavy oil,-1.0
550,Taxi/Private hire car,3.0,1.0,Heavy oil,2446.0
551,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
558,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,8268.0
559,Van / Goods 3.5 tonnes mgw or under,2.0,1.0,Heavy oil,2151.0
564,Motorcycle 50cc and under,1.0,1.0,Petrol,49.0
565,Motorcycle 125cc and under,5.0,1.0,Petrol,100.0
566,Motorcycle 125cc and under,5.0,1.0,Petrol,100.0
567,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,8268.0
569,Motorcycle over 500cc,8.0,1.0,Petrol,955.0
570,Motorcycle over 500cc,8.0,1.0,Petrol,955.0
572,Motorcycle over 125cc and up to 500cc,7.0,1.0,Petrol,499.0
573,Taxi/Private hire car,6.0,1.0,Heavy oil,2664.0
574,Motorcycle over 125cc and up to 500cc,3.0,1.0,Petrol,176.0
575,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,8268.0
577,Motorcycle 125cc and under,2.0,1.0,Petrol,125.0
579,Motorcycle over 125cc and up to 500cc,3.0,1.0,Petrol,499.0
581,Van / Goods 3.5 tonnes mgw or under,2.0,1.0,Petrol,2295.0
582,Bus or coach (17 or more pass seats),7.0,1.0,Heavy oil,-1.0
583,Van / Goods 3.5 tonnes mgw or under,3.0,1.0,Heavy oil,2402.0
585,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,-1.0
587,Taxi/Private hire car,5.0,1.0,Heavy oil,2664.0
588,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,-1.0
589,Taxi/Private hire car,3.0,1.0,Heavy oil,2402.0
590,Motorcycle 125cc and under,4.0,1.0,Petrol,124.0
591,Motorcycle over 500cc,8.0,1.0,Petrol,885.0
595,Bus or coach (17 or more pass seats),5.0,1.0,Heavy oil,7300.0
599,Motorcycle over 500cc,6.0,1.0,Petrol,599.0
605,Bus or coach (17 or more pass seats),5.0,1.0,Heavy oil,-1.0
606,Bus or coach (17 or more pass seats),5.0,1.0,Heavy oil,-1.0
607,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
608,Motorcycle over 500cc,7.0,1.0,Petrol,955.0
611,Taxi/Private hire car,4.0,1.0,Heavy oil,2664.0
612,Car,1.0,1.0,Petrol,3246.0
613,Car,1.0,1.0,Petrol,3246.0
614,Car,1.0,1.0,Petrol,3246.0
615,Car,1.0,1.0,Petrol,3246.0
617,Motorcycle over 500cc,6.0,1.0,Petrol,1298.0
618,Motorcycle over 500cc,6.0,1.0,Petrol,1298.0
622,Car,15.0,1.0,Petrol,2316.0
623,Taxi/Private hire car,2.0,1.0,Heavy oil,2902.0
624,Car,6.0,1.0,Petrol,2544.0
627,Van / Goods 3.5 tonnes mgw or under,8.0,1.0,Heavy oil,2496.0
628,Van / Goods 3.5 tonnes mgw or under,8.0,1.0,Heavy oil,2496.0
631,Van / Goods 3.5 tonnes mgw or under,5.0,1.0,Heavy oil,2402.0
632,Taxi/Private hire car,8.0,1.0,Heavy oil,2664.0
633,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,7300.0
635,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,8268.0
636,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,3900.0
637,Van / Goods 3.5 tonnes mgw or under,6.0,1.0,Heavy oil,1896.0
638,Van / Goods 3.5 tonnes mgw or under,3.0,1.0,Heavy oil,1998.0
639,Motorcycle over 500cc,2.0,1.0,Petrol,599.0
641,Taxi/Private hire car,1.0,1.0,Petrol,1794.0
645,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,7300.0
646,Motorcycle over 125cc and up to 500cc,27.0,1.0,Petrol,398.0
647,Motorcycle over 500cc,6.0,1.0,Petrol,600.0
652,Motorcycle over 125cc and up to 500cc,2.0,1.0,Petrol,498.0
653,Motorcycle over 125cc and up to 500cc,13.0,1.0,Petrol,400.0
654,Motorcycle over 125cc and up to 500cc,13.0,1.0,Petrol,400.0
660,Motorcycle over 500cc,5.0,1.0,Petrol,599.0
664,Car,3.0,1.0,Heavy oil,1896.0
666,Motorcycle over 500cc,5.0,1.0,Petrol,647.0
668,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,8268.0
669,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,8268.0
672,Taxi/Private hire car,12.0,1.0,Heavy oil,2664.0
676,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,8268.0
677,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,11000.0
680,Car,10.0,1.0,Petrol,1796.0
684,Motorcycle over 500cc,7.0,1.0,Petrol,900.0
686,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,8268.0
687,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,8268.0
688,Bus or coach (17 or more pass seats),21.0,1.0,Heavy oil,10450.0
689,Motorcycle 125cc and under,6.0,1.0,Petrol,124.0
692,Car,7.0,1.0,Petrol,1985.0
696,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,7300.0
698,Motorcycle 125cc and under,2.0,1.0,Petrol,125.0
702,Taxi/Private hire car,3.0,1.0,Heavy oil,2664.0
703,Taxi/Private hire car,3.0,1.0,Heavy oil,2664.0
705,Motorcycle over 500cc,2.0,1.0,Petrol,599.0
706,Motorcycle 125cc and under,3.0,1.0,Petrol,85.0
708,Motorcycle over 500cc,2.0,1.0,Petrol,1402.0
711,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,8268.0
712,Car,10.0,1.0,Petrol,2438.0
715,Motorcycle 125cc and under,7.0,1.0,Petrol,85.0
716,Motorcycle 125cc and under,3.0,1.0,Petrol,124.0
717,Car,6.0,1.0,Petrol,1796.0
718,Car,6.0,1.0,Petrol,1796.0
720,Car,3.0,1.0,Heavy oil,2151.0
721,Car,8.0,1.0,Petrol,1370.0
722,Motorcycle over 500cc,1.0,1.0,Petrol,645.0
724,Car,13.0,1.0,Petrol,1390.0
725,Car,13.0,1.0,Petrol,1390.0
728,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,5883.0
734,Van / Goods 3.5 tonnes mgw or under,3.0,1.0,Heavy oil,1461.0
736,Taxi/Private hire car,6.0,1.0,Petrol,1762.0
741,Motorcycle 125cc and under,5.0,1.0,Petrol,124.0
742,Van / Goods 3.5 tonnes mgw or under,11.0,1.0,Heavy oil,1896.0
743,Van / Goods 3.5 tonnes mgw or under,11.0,1.0,Heavy oil,1896.0
745,Motorcycle 50cc and under,1.0,1.0,Petrol,49.0
747,Taxi/Private hire car,15.0,1.0,Heavy oil,2664.0
748,Taxi/Private hire car,15.0,1.0,Heavy oil,2664.0
750,Motorcycle over 125cc and up to 500cc,2.0,1.0,Petrol,498.0
751,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
752,Bus or coach (17 or more pass seats),6.0,1.0,Heavy oil,-1.0
753,Car,12.0,1.0,Petrol,1124.0
755,Car,4.0,1.0,Petrol,1598.0
756,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,8268.0
757,Motorcycle over 500cc,7.0,1.0,Petrol,650.0
759,Taxi/Private hire car,5.0,1.0,Heavy oil,1870.0
760,Car,12.0,1.0,Heavy oil,2260.0
761,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,6370.0
762,Car,20.0,1.0,Petrol,1766.0
