,Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
671,Motorcycle over 500cc,4.0,1.0,Petrol,1137.0
672,Car,5.0,1.0,Petrol,2464.0
673,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
676,Car,5.0,1.0,Petrol,1581.0
678,Motorcycle over 500cc,3.0,1.0,Petrol,600.0
679,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
680,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,7300.0
682,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
685,Car,4.0,1.0,Petrol,1595.0
688,Motorcycle 125cc and under,4.0,1.0,Petrol,124.0
692,Taxi/Private hire car,4.0,1.0,Heavy oil,2664.0
694,Car,10.0,1.0,Petrol,1590.0
697,Motorcycle 125cc and under,4.0,1.0,Petrol,124.0
698,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
699,Motorcycle 125cc and under,7.0,1.0,Petrol,124.0
700,Motorcycle over 500cc,1.0,1.0,Petrol,7817.0
703,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
705,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
706,Van / Goods 3.5 tonnes mgw or under,7.0,1.0,Heavy oil,2459.0
710,Motorcycle over 500cc,14.0,1.0,Petrol,600.0
712,Car,6.0,1.0,Petrol,1800.0
713,Car,5.0,1.0,Petrol,973.0
714,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
720,Car,4.0,1.0,Petrol,1994.0
721,Taxi/Private hire car,9.0,1.0,Heavy oil,2664.0
722,Car,12.0,1.0,Petrol,1598.0
723,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,9200.0
724,Taxi/Private hire car,5.0,1.0,Heavy oil,1997.0
726,Car,1.0,1.0,Petrol,1796.0
727,Car,1.0,1.0,Petrol,1796.0
728,Car,8.0,1.0,Petrol,1598.0
729,Car,13.0,1.0,Petrol,1580.0
730,Van / Goods 3.5 tonnes mgw or under,4.0,1.0,Heavy oil,1998.0
731,Motorcycle over 500cc,1.0,1.0,Petrol,1130.0
732,Car,5.0,1.0,Petrol,1898.0
735,Car,2.0,1.0,Petrol,4999.0
737,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
739,Motorcycle over 500cc,7.0,1.0,Petrol,599.0
741,Car,8.0,1.0,Petrol,1396.0
743,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,7300.0
744,Motorcycle over 500cc,6.0,1.0,Petrol,647.0
750,Van / Goods 3.5 tonnes mgw or under,3.0,1.0,Heavy oil,1686.0
751,Motorcycle 50cc and under,1.0,1.0,Petrol,49.0
754,Motorcycle 125cc and under,4.0,1.0,Petrol,124.0
756,Bus or coach (17 or more pass seats),5.0,1.0,Heavy oil,9600.0
758,Motorcycle 125cc and under,5.0,1.0,Petrol,124.0
759,Taxi/Private hire car,2.0,1.0,Heavy oil,2402.0
761,Car,2.0,1.0,Heavy oil,1896.0
764,Motorcycle over 500cc,3.0,1.0,Petrol,1157.0
765,Car,10.0,1.0,Petrol,1598.0
766,Motorcycle over 125cc and up to 500cc,7.0,1.0,Petrol,499.0
767,Car,2.0,1.0,Petrol,1360.0
769,Car,2.0,1.0,Petrol,4196.0
774,Car,6.0,1.0,Petrol,1598.0
775,Motorcycle over 500cc,3.0,1.0,Petrol,645.0
782,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
783,Taxi/Private hire car,2.0,1.0,Heavy oil,2402.0
784,Motorcycle 125cc and under,1.0,1.0,Petrol,124.0
787,Car,4.0,1.0,Petrol,2362.0
790,Car,3.0,1.0,Petrol,599.0
791,Motorcycle over 500cc,5.0,1.0,Petrol,647.0
793,Car,4.0,1.0,Petrol,1984.0
795,Car,11.0,1.0,Petrol,1391.0
796,Motorcycle over 125cc and up to 500cc,5.0,1.0,Petrol,499.0
797,Car,1.0,1.0,Petrol,1598.0
799,Car,7.0,1.0,Petrol,1998.0
800,Car,12.0,1.0,Petrol,2792.0
805,Taxi/Private hire car,9.0,1.0,Heavy oil,2664.0
806,Car,3.0,1.0,Petrol,1796.0
807,Car,3.0,1.0,Petrol,1796.0
808,Car,1.0,1.0,Petrol,1796.0
811,Car,7.0,1.0,Petrol,2398.0
812,Car,6.0,1.0,Heavy oil,1896.0
815,Car,4.0,1.0,Petrol,1781.0
817,Car,7.0,1.0,Heavy oil,1896.0
818,Car,9.0,1.0,Petrol,1781.0
819,Car,9.0,1.0,Heavy oil,1910.0
820,Car,5.0,1.0,Petrol,998.0
